msa_name,msa_total,msa_white,msa_nonwhite,cc_total,cc_white,cc_nonwhite
"Abilene, TX",,,,,,
"Akron, OH",410032,383503,26529,274605,250727,23878
"Albany, GA",,,,,,
"Albany, NY",514490,505409,9081,134995,129114,5881
"Albuquerque, NM",145673,141512,4161,96815,94849,1966
"Alexandria, LA",,,,61787,54121,7666
"Allentown, PA",437824,435198,2626,106756,106264,492
"Altoona, PA",139514,138364,1150,77177,76479,698
"Amarillo, TX",87140,83465,3675,74246,70591,3655
"Ann Arbor, MI",,,,,,
"Anniston, AL",,,,,,
"Asheville, NC",124403,109126,15277,53000,40536,12464
"Athens, GA",,,,,,
"Atlanta, GA",671797,505983,165814,331314,209898,121416
"Atlantic City, NJ",132399,110785,21614,61657,44795,16862
"Augusta, GA",162013,105900,56113,71508,41990,29518
"Austin, TX",160980,138329,22651,132459,114652,17807
"Bakersfield, CA",,,,,,
"Baltimore, MD",1337373,1070712,266661,949708,723655,226053
"Bangor, ME",,,,,,
"Baton Rouge, LA",158236,105890,52346,125629,90447,35182
"Beaumont, TX",195083,150858,44225,94014,66389,27625
"Bellingham, WA",,,,,,
"Beloit, WI",,,,,,
"Billings, MT",,,,,,
"Biloxi, MS",,,,,,
"Binghamton, NY",184698,183799,899,80674,79842,832
"Birmingham, AL",558928,350223,208705,326037,195895,130142
"Bloomington, IL",,,,,,
"Bloomington, IN",,,,,,
"Boston, MA",2369986,2314256,55730,801444,758700,42744
"Bremerton, WA",,,,,,
"Brownsville, TX",,,,,,
"Buffalo, NY",1089230,1041437,47793,580132,542432,37700
"Burlington, VT",,,,,,
"Canton, OH",283194,270522,12672,116912,109756,7156
"Cedar Rapids, IA",104274,103454,820,72296,71512,784
"Champaign, IL",,,,,,
"Charleston, SC",164856,96502,68354,70174,39287,30887
"Charleston, WV",322072,294944,27128,73501,66377,7124
"Charlotte, NC",197052,147079,49973,134042,96531,37511
"Charlottesville, VA",,,,,,
"Chattanooga, TN",246453,201570,44883,131041,91720,39321
"Cheyenne, WY",,,,,,
"Chicago, IL",5495364,4890018,605346,3620962,3111525,509437
"Cincinnati, OH",904402,808746,95656,503998,425313,78685
"Cleveland, OH",1465511,1311391,154120,914808,765261,149547
"Colorado Springs, CO",,,,,,
"Columbia, MO",,,,,,
"Columbia, SC",142565,92071,50494,86914,55671,31243
"Columbus, OH",503410,451209,52201,375901,328770,47131
"Corpus Christi, TX",165471,157399,8072,108287,101123,7164
"Dallas, TX",614799,531447,83352,434462,377199,57263
"Danville, VA",,,,,,
"Davenport, IA",234256,230590,3666,74549,73430,1116
"Dayton, OH",457333,414377,42956,243872,209599,34273
"Daytona Beach, FL",,,,,,
"Decatur, IL",98853,95335,3518,66269,62804,3465
"Denver, CO",563832,543642,20190,415786,397534,18252
"Des Moines, IA",226010,217476,8534,177965,169747,8218
"Detroit, MI",3016197,2654272,361925,1849568,1545847,303721
"Dubuque, IA",,,,,,
"Duluth, MN",252777,251186,1591,104511,103925,586
"Durham, NC",101639,67812,33827,71311,45190,26121
"Eau Claire, WI",,,,,,
"El Paso, TX",194968,190274,4694,130485,127033,3452
"Elkhart, IN",,,,,,
"Elmira, NY",,,,,,
"Enid, OK",,,,,,
"Erie, PA",219388,215761,3627,130803,127366,3437
"Eugene, OR",,,,,,
"Evansville, IN",160422,151220,9202,128636,120121,8515
"Fargo, ND",,,,,,
"Fayetteville, NC",,,,,,
"Flint, MI",270963,256686,14277,163143,149100,14043
"Fort Lauderdale, FL",,,,,,
"Fort Smith, AR",,,,,,
"Fort Wayne, IN",183722,178354,5368,133607,128313,5294
"Fort Worth, TX",361253,321056,40197,278778,241352,37426
"Fresno, CA",276515,257350,19165,91669,84561,7108
"Gadsden, AL",93892,80350,13542,55725,44895,10830
"Gainesville, FL",,,,,,
"Galveston, TX",113066,89244,23822,66568,48840,17728
"Grand Forks, ND",,,,,,
"Grand Rapids, MI",288292,281066,7226,176515,169578,6937
"Great Falls, MT",,,,,,
"Green Bay, WI",98314,97332,982,52735,52550,185
"Greenville, SC",168152,136631,31521,58161,42063,16098
"Hagerstown, MD",,,,,,
"Hamilton, OH",147203,139623,7580,57951,55044,2907
"Harrisburg, PA",292241,275839,16402,89544,79389,10155
"Hartford, CT",358081,343665,14416,177397,164607,12790
"Hattiesburg, MS",,,,,,
"Houston, TX",806701,656249,150452,596163,470503,125660
"Huntington, WV",245795,238594,7201,86353,81900,4453
"Iowa City, IA",,,,,,
"Jackson, MI",107925,102854,5071,51088,48327,2761
"Jackson, MS",142164,78247,63917,98271,58080,40191
"Jackson, TN",,,,,,
"Jamestown, NY",,,,,,
"Johnson City, TN",,,,,,
"Johnstown, PA",291354,288106,3248,63232,61014,2218
"Joplin, MO",,,,,,
"Kalamazoo, MI",126707,123913,2794,57704,55182,2522
"Kankakee, IL",,,,,,
"Kansas City, MO",814357,726323,88034,456622,400599,56023
"Kenosha, WI",75238,74954,284,54368,54113,255
"Knoxville, TN",337105,310926,26179,124769,105547,19222
"Kokomo, IN",,,,,,
"La Crosse, WI",,,,,,
"Lafayette, IN",,,,,,
"Lafayette, LA",,,,,,
"Lake Charles, LA",,,,,,
"Lancaster, PA",234717,231868,2849,63774,61951,1823
"Lansing, MI",172941,169506,3435,92129,89083,3046
"Laredo, TX",56141,56027,114,51910,51801,109
"Lawton, OK",,,,,,
"Lewiston, ME",,,,,,
"Lexington, KY",100746,83276,17470,55534,41850,13684
"Lima, OH",88183,83780,4403,50246,46964,3282
"Lincoln, NE",119742,118079,1663,98884,97495,1389
"Little Rock, AR",196685,149368,47317,102213,78654,23559
"Los Angeles, CA",4367911,4091606,276305,1970358,1758773,211585
"Louisville, KY",576900,510491,66409,369129,311357,57772
"Lubbock, TX",101048,93111,7937,71747,65489,6258
"Lynchburg, VA",,,,,,
"Macon, GA",135043,86790,48253,70252,40704,29548
"Madison, WI",169357,168298,1059,96056,95123,933
